state,layer,kl_divergence,kl_divergence_reverse,js_divergence,kl_ci_lower,kl_ci_upper,js_ci_lower,js_ci_upper,kl_std_error,js_std_error,n_samples,pca_enabled,pca_dim,kl_divergence_label
Andaman_and_Nicobar,8,217.41877988852684,209.04586698810635,44.663305269569264,1477.7958703582183,1501.77334221208,138.6960675975278,139.73798960174642,6.351734549057901,0.2766238888993553,474,False,,baseline
Andaman_and_Nicobar,16,176.86051851700938,180.26149235840865,36.19925292854339,1129.4313821029255,1145.646865998764,117.89134510693127,118.7326443527745,4.253418403534484,0.2175066141140946,474,False,,baseline
Andaman_and_Nicobar,24,152.42471079921552,147.3979567832971,31.875879858687426,873.971831986352,886.2456158647832,101.52692799318157,102.22883557211702,3.2544129993005346,0.18081529888550812,474,False,,baseline
Andaman_and_Nicobar,28,424.0382163614163,506.1980958051545,97.6401504015929,1172.7981286237548,1185.5161427075907,178.18351342282347,179.22640079714415,3.432713514509003,0.2608645303112619,474,False,,moderate
Andhra_Pradesh,8,252.30274747487738,244.42655349517008,52.9136695782243,1325.0699496985017,1339.1803610632987,168.76691869051322,169.6379841695102,3.584456891761195,0.2204794731537642,1017,False,,baseline
Andhra_Pradesh,16,207.04070705706192,210.60393357970997,43.33213144758702,1076.8355922570702,1086.8533059014342,144.34239593607106,145.0336266573871,2.6163833495570223,0.17867710863967456,1017,False,,baseline
Andhra_Pradesh,24,206.20934452717142,198.72985441386663,42.56948868252664,980.404569804228,989.8442855432676,135.64022116447404,136.33942633252565,2.527268405053165,0.1815837911200874,1017,False,,baseline
Andhra_Pradesh,28,562.4702515592048,670.927021192219,123.82778618146693,1373.922627086441,1384.1201604200899,231.36639512807565,232.359911244319,2.732039386841054,0.2507885932703848,1017,False,,high
Arunachal_Pradesh,8,310.1045778399066,297.8973631727198,63.939814772249235,1450.7612730314459,1463.726258433202,194.5034111767957,195.31329581121548,3.4143706906065323,0.22329346193519153,1431,False,,baseline
Arunachal_Pradesh,16,243.92024969022373,251.35399988015047,50.710054700247156,1123.9882078403466,1133.0336331260803,161.1243620094847,161.79989609109074,2.4085911527189756,0.17751391893779647,1431,False,,baseline
Arunachal_Pradesh,24,267.8044136377173,257.47374134286315,54.25029737236423,1021.006727464828,1029.1990744660134,153.04873117241786,153.68712338214743,2.196164840332003,0.17012120589380772,1431,False,,baseline
Arunachal_Pradesh,28,685.4491516952921,805.3564285800835,144.9116450745737,1514.6490507342119,1524.1168975397738,260.3908115404454,261.2984225298883,2.43286454144501,0.22684872821319277,1431,False,,high
Assam,8,262.5986343753043,251.0427385992116,54.50822390661409,1346.9219390624282,1362.6994583551777,157.1437951611489,158.0011943469449,3.9323646643821806,0.21407281967390435,714,False,,baseline
Assam,16,227.3040868632927,232.4256538107445,46.18548961065835,1109.1537396766444,1121.603965511251,136.97413937310134,137.71749619642793,3.014701079950602,0.1846350536630935,714,False,,baseline
Assam,24,212.94028346694358,205.42152972469955,43.66910762290598,925.845304029478,935.5768971546418,123.0247081626397,123.67665477223305,2.5261490150813097,0.1681751162610393,714,False,,baseline
Assam,28,582.7201509499466,680.4594332126173,127.75699681712018,1346.0490123430654,1357.4290499422737,221.5914442632427,222.56545489678257,2.9115526349327494,0.25781563997829837,714,False,,high
Bihar,8,187.45694597845522,180.70182621005983,39.65691522505574,1205.2704031435992,1223.790922926276,121.10952712685703,121.93173148471278,4.688904485978315,0.21040005087625135,447,False,,baseline
Bihar,16,175.2301141408251,177.38367744958714,35.202972834469335,1059.153386296211,1074.554007048836,110.52803249292391,111.24186116681307,4.147836405242535,0.1916674089375699,447,False,,baseline
Bihar,24,173.32129327442794,163.82360609414366,35.1235007008799,913.9276523951683,928.206139965997,102.51863653140626,103.21220128102543,3.860226473030929,0.184475030815663,447,False,,baseline
Bihar,28,440.9618660495662,517.7929435107376,100.7709773062711,1167.459682993834,1181.7096551533152,176.61915117778258,177.54494220307132,3.7570272272116916,0.2410009703861086,447,False,,moderate
