layer,model,task,group,data_pct,chunk_bits,cumulative_bits,bits_per_sample,accuracy,eval_split
8,base,attribute,all,0.02,1475.1533203125,1475.1533203125,2.9385524309013946,0.033864542841911316,
8,base,attribute,all,0.04,7390.009765625,8865.1630859375,8.821057796952736,0.09940357506275177,
8,base,attribute,all,0.06,3204.01904296875,12069.18212890625,8.003436425004145,0.19085486233234406,
8,base,attribute,all,0.08,7704.54052734375,19773.72265625,9.832781032446544,0.1729622185230255,
8,base,attribute,all,0.1,5795.197265625,25568.919921875,10.170612538534208,0.20675943791866302,
8,base,attribute,all,0.12000000000000001,7725.66796875,33294.587890625,11.039319592382295,0.07968127727508545,
8,base,attribute,all,0.13999999999999999,8283.3642578125,41577.9521484375,11.81527483615729,0.25447314977645874,
8,base,attribute,all,0.16,10217.6748046875,51795.626953125,12.878077313059423,0.14910535514354706,
8,base,attribute,all,0.18,6148.7216796875,57944.3486328125,12.80538091332873,0.0974154993891716,
8,base,attribute,all,0.2,7896.6845703125,65841.033203125,13.094875338728123,0.12326043099164963,
8,base,attribute,all,0.25,15143.84765625,80984.880859375,12.885422571101829,0.182179793715477,
8,base,attribute,all,0.3,17218.830078125,98203.7109375,13.02091102326969,0.10023866593837738,
8,base,attribute,all,0.35,15848.5234375,114052.234375,12.961954128310035,0.138424813747406,
8,base,attribute,all,0.39999999999999997,14376.1455078125,128428.3798828125,12.7713186040983,0.08830548822879791,
8,base,attribute,all,0.44999999999999996,10701.8232421875,139130.203125,12.298258916732962,0.17899760603904724,
8,base,attribute,all,0.49999999999999994,15834.3544921875,154964.5576171875,12.32812709762828,0.26252982020378113,
8,base,attribute,all,0.5499999999999999,12816.2158203125,167780.7734375,12.134286066211036,0.1758154332637787,
8,base,attribute,all,0.5999999999999999,11969.80078125,179750.57421875,11.916638439323124,0.26968973875045776,
8,base,attribute,all,0.6499999999999999,7542.6171875,187293.19140625,11.461550174790405,0.3229912519454956,
8,base,attribute,all,0.7,11656.1533203125,198949.3447265625,11.305224725909904,0.23945902287960052,
8,base,attribute,all,0.7499999999999998,5093.8115234375,204043.15625,10.821700145849908,0.3778838515281677,
8,base,attribute,all,0.7999999999999998,8553.7978515625,212596.9541015625,10.570652053578089,0.2680986523628235,
8,base,attribute,all,0.8499999999999999,8428.0048828125,221024.958984375,10.343252327407694,0.3770883083343506,
8,base,attribute,all,0.8999999999999999,10716.64453125,231741.603515625,10.242270110298993,0.42243435978889465,
8,base,attribute,all,0.9499999999999997,9179.9345703125,240921.5380859375,10.08757434518015,0.2688941955566406,
8,base,attribute,all,0.9999999999999998,7312.7373046875,248234.275390625,9.874076188966786,0.4295942783355713,
8,base,attribute,all,test,49653.44921875,248234.275390625,5.924525619705285,0.33981624245643616,test
8,base_control,attribute,all,0.02,1454.1795654296875,1454.1795654296875,2.8967720426886205,0.11952191591262817,
8,base_control,attribute,all,0.04,8506.6806640625,9960.860229492188,9.9113037109375,0.0834989994764328,
8,base_control,attribute,all,0.06,8015.10791015625,17975.968139648438,11.920403275628937,0.11332007497549057,
8,base_control,attribute,all,0.08,9691.9130859375,27667.881225585938,13.758270127093953,0.10536778718233109,
8,base_control,attribute,all,0.1,13384.0888671875,41051.97009277344,16.32934371232038,0.07753478735685349,
8,base_control,attribute,all,0.12000000000000001,12902.82421875,53954.79431152344,17.88952066031944,0.06972111761569977,
8,base_control,attribute,all,0.13999999999999999,8370.861328125,62325.65563964844,17.711183756649174,0.16302186250686646,
8,base_control,attribute,all,0.16,6624.01953125,68949.67517089844,17.14313156909459,0.11729621887207031,
8,base_control,attribute,all,0.18,7356.203125,76305.87829589844,16.863177523955457,0.08151093125343323,
8,base_control,attribute,all,0.2,11659.2666015625,87965.14489746094,17.495056662183956,0.061630215495824814,
8,base_control,attribute,all,0.25,27702.546875,115667.69177246094,18.403769573979464,0.10342083871364594,
8,base_control,attribute,all,0.3,30061.80078125,145729.49255371094,19.322393602984743,0.09069212526082993,
8,base_control,attribute,all,0.35,26406.51171875,172136.00427246094,19.563132659672796,0.08671440184116364,
8,base_control,attribute,all,0.39999999999999997,28097.51171875,200233.51599121094,19.911845265633545,0.05011933296918869,
8,base_control,attribute,all,0.44999999999999996,20458.013671875,220691.52966308594,19.50778128375196,0.11217183619737625,
8,base_control,attribute,all,0.49999999999999994,23331.583984375,244023.11364746094,19.413135532813122,0.15354017913341522,
8,base_control,attribute,all,0.5499999999999999,19340.61328125,263363.72692871094,19.04706204735018,0.10182975232601166,
8,base_control,attribute,all,0.5999999999999999,28600.623046875,291964.34997558594,19.355896975310657,0.10739856958389282,
8,base_control,attribute,all,0.6499999999999999,20860.318359375,312824.66833496094,19.14354496878777,0.05011933296918869,
8,base_control,attribute,all,0.7,23575.5703125,336400.23864746094,19.115822175671152,0.09466984868049622,
8,base_control,attribute,all,0.7499999999999998,34209.921875,370610.16052246094,19.655802732562236,0.11455847322940826,
8,base_control,attribute,all,0.7999999999999998,25694.9765625,396305.13708496094,19.704909361821844,0.08194112777709961,
8,base_control,attribute,all,0.8499999999999999,30127.724609375,426432.86169433594,19.955676994446907,0.10023866593837738,
8,base_control,attribute,all,0.8999999999999999,24796.431640625,451229.29333496094,19.942954712939137,0.10342083871364594,
8,base_control,attribute,all,0.9499999999999997,19651.47265625,470880.76599121094,19.716148138475525,0.13762927055358887,
8,base_control,attribute,all,0.9999999999999998,27275.208984375,498155.97497558594,19.81527346760485,0.09546539187431335,
8,base_control,attribute,all,test,176803.921875,498155.97497558594,21.095802633933896,0.16322635114192963,test
8,base,state,all,0.02,1844.3402099609375,1844.3402099609375,3.6739844819938994,0.017928287386894226,
8,base,state,all,0.04,2606.095947265625,4450.4361572265625,4.428294683807525,0.019880715757608414,
8,base,state,all,0.06,3487.78125,7938.2174072265625,5.264069898691354,0.05367793142795563,
8,base,state,all,0.08,2862.150146484375,10800.367553710938,5.370645228100914,0.07157057523727417,
8,base,state,all,0.1,2345.642822265625,13146.010375976562,5.229121072385268,0.0278329998254776,
8,base,state,all,0.12000000000000001,2632.248046875,15778.258422851562,5.231518044712057,0.05179283022880554,
8,base,state,all,0.13999999999999999,2209.702880859375,17987.961303710938,5.11166845800254,0.07753478735685349,
8,base,state,all,0.16,2138.678466796875,20126.639770507812,5.004137188092445,0.08151093125343323,
8,base,state,all,0.18,2105.6005859375,22232.240356445312,4.913202288717196,0.09343936294317245,
8,base,state,all,0.2,2476.518798828125,24708.759155273438,4.914232131120413,0.08946321904659271,
8,base,state,all,0.25,6474.9091796875,31183.668334960938,4.961601962603172,0.037390612065792084,
8,base,state,all,0.3,5431.0087890625,36614.67712402344,4.854770236545139,0.08035004138946533,
8,base,state,all,0.35,8254.337890625,44869.01501464844,5.099331175661829,0.07319013774394989,
8,base,state,all,0.39999999999999997,7140.90625,52009.92126464844,5.172028765378723,0.0922832116484642,
8,base,state,all,0.44999999999999996,5400.6396484375,57410.56091308594,5.074742412541849,0.0859188511967659,
8,base,state,all,0.49999999999999994,5780.0751953125,63190.63610839844,5.02709913352414,0.07319013774394989,
8,base,state,all,0.5499999999999999,4555.22119140625,67745.85729980469,4.899534049309661,0.08671440184116364,
8,base,state,all,0.5999999999999999,6799.791015625,74545.64831542969,4.942034494525967,0.07875894755125046,
8,base,state,all,0.6499999999999999,7709.46435546875,82255.11267089844,5.033664565871026,0.04375497251749039,
8,base,state,all,0.7,6926.2158203125,89181.32849121094,5.067696811638307,0.08114558458328247,
8,base,state,all,0.7499999999999998,9112.2783203125,98293.60681152344,5.213132156537971,0.12728719413280487,
8,base,state,all,0.7999999999999998,5841.72412109375,104135.33093261719,5.177771028869192,0.10819411277770996,
8,base,state,all,0.8499999999999999,5331.1767578125,109466.50769042969,5.122678070589624,0.1153540164232254,
8,base,state,all,0.8999999999999999,8898.994140625,118365.50183105469,5.231393168525355,0.06841686367988586,
8,base,state,all,0.9499999999999997,5391.33642578125,123756.83825683594,5.181796183764013,0.16070008277893066,
8,base,state,all,0.9999999999999998,6691.39501953125,130448.23327636719,5.188871649815719,0.10103420913219452,
8,base,state,all,test,36254.79296875,130448.23327636719,4.325831400638348,0.07958477735519409,test
8,base_control,state,all,0.02,1852.22314453125,1852.22314453125,3.6896875389068726,0.03784860670566559,
8,base_control,state,all,0.04,2387.929443359375,4240.152587890625,4.219057301383707,0.07554671913385391,
8,base_control,state,all,0.06,2736.3701171875,6976.522705078125,4.626341316364805,0.049701787531375885,
8,base_control,state,all,0.08,2500.267333984375,9476.7900390625,4.712476399334908,0.051689859479665756,
8,base_control,state,all,0.1,2734.197509765625,12210.987548828125,4.857194729048578,0.033797215670347214,
8,base_control,state,all,0.12000000000000001,2317.92041015625,14528.907958984375,4.8172771747295675,0.039840638637542725,
8,base_control,state,all,0.13999999999999999,4386.9228515625,18915.830810546875,5.375342657160237,0.03180914372205734,
8,base_control,state,all,0.16,2763.7392578125,21679.570068359375,5.390246163192286,0.047713715583086014,
8,base_control,state,all,0.18,3232.209716796875,24911.77978515625,5.505365698377072,0.04373757168650627,
8,base_control,state,all,0.2,2319.685546875,27231.46533203125,5.415963669855062,0.049701787531375885,
