model,layer,cluster_id,size,suppression_count,enhancement_count,control_count,suppression_pct,enhancement_pct,control_pct,base_accuracy,instruct_accuracy,top_states,top_attributes
instruct,18,0,74,43,25,6,58.108108108108105,33.78378378378378,8.108108108108109,0.8378378378378378,0.7837837837837838,"{'Assam': 50, 'Sikkim': 20, 'Kerala': 3}","{'Cuisine': 50, 'Tourism': 21, 'History': 2}"
instruct,18,1,83,7,25,51,8.433734939759036,30.120481927710845,61.44578313253012,0.9036144578313253,0.8433734939759037,"{'Meghalaya': 22, 'Tripura': 18, 'Sikkim': 16}","{'Cultural_Common_Sense': 68, 'History': 13, 'Tourism': 2}"
instruct,18,2,61,7,26,28,11.475409836065573,42.62295081967213,45.90163934426229,0.8032786885245902,0.7704918032786885,"{'Punjab': 54, 'Sikkim': 3, 'Haryana': 2}","{'Cultural_Common_Sense': 34, 'History': 25, 'Cuisine': 2}"
instruct,18,3,76,6,61,9,7.894736842105263,80.26315789473685,11.842105263157894,0.631578947368421,0.7631578947368421,"{'Delhi': 65, 'Tamil_Nadu': 9, 'Ladakh': 1}","{'Rituals_and_Ceremonies': 48, 'Festivals': 15, 'Art': 9}"
instruct,18,4,56,4,46,6,7.142857142857142,82.14285714285714,10.714285714285714,0.6428571428571429,0.6964285714285714,"{'Jharkhand': 47, 'Sikkim': 9}","{'Transport': 47, 'Cultural_Common_Sense': 9}"
instruct,18,5,131,31,42,58,23.66412213740458,32.06106870229007,44.274809160305345,0.6335877862595419,0.6259541984732825,"{'Punjab': 22, 'Nagaland': 14, 'Uttarakhand': 13}","{'Dance_and_Music': 106, 'Rituals_and_Ceremonies': 10, 'Cultural_Common_Sense': 7}"
instruct,18,6,1710,757,487,466,44.26900584795322,28.47953216374269,27.251461988304094,0.6818713450292397,0.6403508771929824,"{'Andhra_Pradesh': 158, 'Tamil_Nadu': 130, 'Telangana': 114}","{'Art': 796, 'Costume': 680, 'Cultural_Common_Sense': 103}"
instruct,18,7,129,43,38,48,33.33333333333333,29.457364341085274,37.2093023255814,0.7054263565891473,0.6821705426356589,"{'Telangana': 39, 'Delhi': 15, 'Dadra_and_Nagar_Haveli_and_Daman_and_Diu': 15}","{'Tourism': 72, 'Cultural_Common_Sense': 34, 'Art': 13}"
instruct,18,8,111,40,28,43,36.03603603603604,25.225225225225223,38.73873873873874,0.5855855855855856,0.5405405405405406,"{'Meghalaya': 29, 'Telangana': 23, 'Mizoram': 19}",{'Tourism': 111}
instruct,18,9,51,30,21,0,58.82352941176471,41.17647058823529,0.0,0.6470588235294118,0.45098039215686275,"{'Jharkhand': 37, 'Andaman_and_Nicobar': 10, 'Himachal_Pradesh': 2}","{'Cuisine': 41, 'Cultural_Common_Sense': 8, 'Medicine': 2}"
instruct,18,10,404,146,117,141,36.13861386138614,28.960396039603957,34.900990099009896,0.6707920792079208,0.6188118811881188,"{'Telangana': 88, 'Sikkim': 61, 'Mizoram': 41}","{'Tourism': 397, 'Cultural_Common_Sense': 4, 'Rituals_and_Ceremonies': 2}"
instruct,18,11,279,83,110,86,29.749103942652326,39.42652329749104,30.824372759856633,0.7455197132616488,0.7240143369175627,"{'Delhi': 111, 'Puducherry': 42, 'Sikkim': 38}","{'Medicine': 60, 'Language': 57, 'Cultural_Common_Sense': 54}"
instruct,18,12,1063,319,480,264,30.009407337723427,45.155221072436504,24.835371589840076,0.6180620884289746,0.6227657572906867,"{'Uttarakhand': 127, 'Tamil_Nadu': 99, 'Jharkhand': 94}","{'Cuisine': 1006, 'Cultural_Common_Sense': 24, 'Rituals_and_Ceremonies': 9}"
instruct,18,13,1079,330,485,264,30.583873957367935,44.94902687673772,24.467099165894346,0.6181649675625579,0.6163113994439295,"{'Uttarakhand': 128, 'Jharkhand': 91, 'Tamil_Nadu': 88}","{'Cuisine': 1006, 'Cultural_Common_Sense': 25, 'Rituals_and_Ceremonies': 19}"
instruct,18,14,63,6,17,40,9.523809523809524,26.984126984126984,63.49206349206349,0.7301587301587301,0.7936507936507936,"{'Manipur': 26, 'Rajasthan': 22, 'Punjab': 11}","{'Sports': 35, 'Tourism': 22, 'Cultural_Common_Sense': 2}"
instruct,18,15,208,115,39,54,55.28846153846154,18.75,25.961538461538463,0.7548076923076923,0.6586538461538461,"{'Karnataka': 39, 'Uttar_Pradesh': 34, 'Tamil_Nadu': 26}","{'Dance_and_Music': 158, 'Cultural_Common_Sense': 16, 'Language': 12}"
instruct,18,16,1244,504,453,287,40.51446945337621,36.41479099678457,23.070739549839228,0.6205787781350482,0.5964630225080386,"{'Karnataka': 101, 'Punjab': 101, 'Odisha': 81}","{'Dance_and_Music': 929, 'Rituals_and_Ceremonies': 66, 'Art': 53}"
