model,layer,cluster_id,size,suppression_count,enhancement_count,control_count,suppression_pct,enhancement_pct,control_pct,base_accuracy,instruct_accuracy,top_states,top_attributes
instruct,24,0,58,16,18,24,27.586206896551722,31.03448275862069,41.37931034482759,1.0,0.8448275862068966,"{'Odisha': 26, 'Rajasthan': 16, 'Puducherry': 15}","{'Cultural_Common_Sense': 32, 'Tourism': 26}"
instruct,24,1,68,11,45,12,16.176470588235293,66.17647058823529,17.647058823529413,0.5441176470588235,0.6470588235294118,"{'Himachal_Pradesh': 43, 'Maharashtra': 15, 'Odisha': 10}","{'Dance_and_Music': 43, 'Tourism': 16, 'Cultural_Common_Sense': 8}"
instruct,24,2,58,7,24,27,12.068965517241379,41.37931034482759,46.55172413793103,0.8448275862068966,0.7931034482758621,"{'Punjab': 54, 'Haryana': 3, 'Himachal_Pradesh': 1}","{'Cultural_Common_Sense': 33, 'History': 21, 'Cuisine': 3}"
instruct,24,3,69,7,22,40,10.144927536231885,31.88405797101449,57.971014492753625,0.9130434782608695,0.8405797101449275,"{'Meghalaya': 22, 'Tripura': 18, 'Sikkim': 16}","{'Cultural_Common_Sense': 68, 'History': 1}"
instruct,24,4,86,9,47,30,10.465116279069768,54.65116279069767,34.883720930232556,0.45348837209302323,0.5930232558139535,"{'Telangana': 54, 'Jharkhand': 23, 'Delhi': 9}","{'Personalities': 53, 'Sports': 33}"
instruct,24,5,208,15,73,120,7.211538461538461,35.09615384615385,57.692307692307686,0.6634615384615384,0.6923076923076923,"{'Sikkim': 105, 'Telangana': 81, 'Delhi': 9}","{'Sports': 114, 'Cultural_Common_Sense': 81, 'Tourism': 9}"
instruct,24,6,114,36,75,3,31.57894736842105,65.78947368421053,2.631578947368421,0.631578947368421,0.5,"{'Manipur': 69, 'Jharkhand': 42, 'Odisha': 3}","{'Personalities': 87, 'Sports': 27}"
instruct,24,7,71,39,9,23,54.929577464788736,12.676056338028168,32.3943661971831,0.8450704225352113,0.5492957746478874,"{'Manipur': 38, 'Punjab': 18, 'Kerala': 12}","{'Art': 53, 'Sports': 6, 'History': 3}"
instruct,24,8,52,23,29,0,44.230769230769226,55.769230769230774,0.0,0.6346153846153846,0.4807692307692308,"{'Andaman_and_Nicobar': 29, 'Puducherry': 18, 'Dadra_and_Nagar_Haveli_and_Daman_and_Diu': 3}","{'Cultural_Common_Sense': 24, 'Art': 23, 'Rituals_and_Ceremonies': 3}"
instruct,24,9,52,10,11,31,19.230769230769234,21.153846153846153,59.61538461538461,0.6923076923076923,0.7692307692307693,"{'Telangana': 35, 'Manipur': 14, 'Nagaland': 2}","{'Cultural_Common_Sense': 46, 'Tourism': 3, 'History': 2}"
