cluster_id,size,suppression_pct,enhancement_pct,control_pct,top_states,top_attributes,base_accuracy,instruct_accuracy
0,184,45.65217391304348,26.6304347826087,27.717391304347828,"{'Sikkim': 57, 'West_Bengal': 33, 'Tripura': 21}","{'Tourism': 93, 'Art': 48, 'History': 18}",0.6195652173913043,0.532608695652174
1,147,40.816326530612244,24.489795918367346,34.69387755102041,"{'Sikkim': 60, 'Maharashtra': 24, 'Telangana': 18}","{'Tourism': 60, 'History': 54, 'Cultural_Common_Sense': 18}",0.673469387755102,0.673469387755102
2,122,27.049180327868854,68.0327868852459,4.918032786885246,"{'Himachal_Pradesh': 93, 'Mizoram': 29}","{'Festivals': 57, 'Rituals_and_Ceremonies': 33, 'Tourism': 29}",0.5327868852459017,0.48360655737704916
3,84,10.714285714285714,60.71428571428571,28.57142857142857,"{'Himachal_Pradesh': 45, 'Punjab': 39}","{'Dance_and_Music': 45, 'Personalities': 39}",0.5714285714285714,0.6785714285714286
4,75,28.000000000000004,28.000000000000004,44.0,"{'Manipur': 39, 'Sikkim': 36}","{'Art': 36, 'Sports': 36, 'History': 3}",0.72,0.48
5,78,23.076923076923077,53.84615384615385,23.076923076923077,"{'Himachal_Pradesh': 30, 'Telangana': 27, 'Tripura': 15}","{'Cultural_Common_Sense': 30, 'Dance_and_Music': 30, 'Tourism': 15}",0.5,0.5
6,84,7.142857142857142,32.142857142857146,60.71428571428571,"{'Manipur': 33, 'Tripura': 33, 'Delhi': 18}","{'Festivals': 51, 'Tourism': 33}",0.75,0.8214285714285714
7,142,12.676056338028168,30.28169014084507,57.04225352112676,"{'Manipur': 141, 'Mizoram': 1}","{'Tourism': 136, 'Cultural_Common_Sense': 6}",0.6619718309859155,0.6197183098591549
8,72,62.5,25.0,12.5,"{'Sikkim': 27, 'Tamil_Nadu': 24, 'Puducherry': 15}","{'Rituals_and_Ceremonies': 30, 'Tourism': 27, 'Cultural_Common_Sense': 15}",0.6666666666666666,0.5833333333333334
9,63,33.33333333333333,4.761904761904762,61.904761904761905,"{'Tamil_Nadu': 33, 'Karnataka': 15, 'Telangana': 15}","{'Cuisine': 33, 'Cultural_Common_Sense': 15, 'Personalities': 15}",0.8095238095238095,0.7619047619047619
10,53,9.433962264150944,73.58490566037736,16.9811320754717,"{'Himachal_Pradesh': 23, 'Chandigarh': 15, 'Punjab': 15}","{'Cuisine': 23, 'Art': 15, 'Dance_and_Music': 15}",0.6037735849056604,0.6792452830188679
11,54,16.666666666666664,22.22222222222222,61.111111111111114,"{'Tripura': 39, 'Telangana': 15}","{'Personalities': 39, 'Cultural_Common_Sense': 15}",0.7222222222222222,0.7222222222222222
12,120,7.5,47.5,45.0,"{'Telangana': 45, 'Uttar_Pradesh': 33, 'Gujarat': 24}","{'Sports': 33, 'Cuisine': 33, 'Personalities': 30}",0.65,0.725
13,120,25.0,25.0,50.0,"{'West_Bengal': 36, 'Telangana': 27, 'Dadra_and_Nagar_Haveli_and_Daman_and_Diu': 21}","{'Art': 51, 'Tourism': 27, 'Dance_and_Music': 21}",0.625,0.625
14,126,14.285714285714285,40.476190476190474,45.23809523809524,"{'Odisha': 48, 'Telangana': 45, 'Himachal_Pradesh': 18}","{'Personalities': 36, 'Tourism': 27, 'Cultural_Common_Sense': 27}",0.8095238095238095,0.7619047619047619
15,51,23.52941176470588,64.70588235294117,11.76470588235294,"{'Jharkhand': 36, 'Telangana': 15}","{'Transport': 36, 'Personalities': 15}",0.8235294117647058,0.5882352941176471
16,65,13.846153846153847,40.0,46.15384615384615,"{'Manipur': 33, 'Uttarakhand': 32}","{'Festivals': 33, 'Cuisine': 32}",0.6,0.6
17,108,36.11111111111111,30.555555555555557,33.33333333333333,"{'West_Bengal': 36, 'Assam': 30, 'Manipur': 27}","{'Tourism': 63, 'Cuisine': 27, 'Nightlife': 15}",0.5833333333333334,0.5555555555555556
18,90,26.666666666666668,46.666666666666664,26.666666666666668,"{'Odisha': 30, 'Madhya_Pradesh': 18, 'Tripura': 15}","{'Cultural_Common_Sense': 39, 'Tourism': 21, 'Festivals': 18}",0.36666666666666664,0.4
19,72,62.5,29.166666666666668,8.333333333333332,"{'Tamil_Nadu': 24, 'Arunachal_Pradesh': 18, 'Manipur': 18}","{'Personalities': 30, 'Rituals_and_Ceremonies': 24, 'Costume': 18}",0.5833333333333334,0.5
20,96,40.625,34.375,25.0,"{'Karnataka': 30, 'Meghalaya': 21, 'Tripura': 21}","{'Tourism': 42, 'Rituals_and_Ceremonies': 18, 'Cultural_Common_Sense': 15}",0.53125,0.6875
21,108,30.555555555555557,22.22222222222222,47.22222222222222,"{'Telangana': 42, 'Rajasthan': 30, 'Gujarat': 21}","{'Art': 27, 'Festivals': 21, 'Cultural_Common_Sense': 21}",0.7222222222222222,0.5555555555555556
22,62,27.419354838709676,19.35483870967742,53.2258064516129,"{'Puducherry': 27, 'Telangana': 21, 'Haryana': 14}","{'Art': 27, 'Tourism': 21, 'Personalities': 14}",0.532258064516129,0.6290322580645161
