attribute_category,layer,n_attributes,kl_divergence,kl_divergence_reverse,js_divergence,kl_ci_lower,kl_ci_upper,js_ci_lower,js_ci_upper,kl_std_error,js_std_error,n_samples,pca_enabled,pca_dim,kl_divergence_label
Cultural_Practice,8,4,156.15864578576986,155.38839344238033,35.49499328316665,310.1736699009688,310.78549538846005,66.17623692211444,66.27810098548892,0.1614020778695402,0.026600161118251822,10941,False,,baseline
Cultural_Practice,16,4,142.05166854518097,150.5016516926862,32.357602134562455,283.81244550378875,284.35111700817066,61.43872719311726,61.53560631461149,0.14884326541036436,0.024549850354662357,10941,False,,baseline
Cultural_Practice,24,4,168.9175972151653,168.6531535283906,35.94467164225773,321.70038328395464,322.3883931822558,66.17040757020136,66.26499725693208,0.17805022699055123,0.025085953349140638,10941,False,,baseline
Cultural_Practice,28,4,466.2855150268763,548.7772245031824,105.475280001903,645.757864691297,647.2207711181246,140.17107349062505,140.3757100935709,0.3791065153422216,0.05486368212017148,10941,False,,high
Heritage,8,2,140.07355469972094,137.96987210693976,31.988626041214957,320.7089186345209,321.4943804691423,67.667576255238,67.79337465118746,0.20209583957264032,0.031278698265255624,9141,False,,baseline
Heritage,16,2,128.5060724482181,134.26717804702946,29.19711691758124,296.39202586580853,296.98341542925857,63.25408306842256,63.36475039430066,0.16478130518289397,0.027530588335439123,9141,False,,baseline
Heritage,24,2,147.42210459016212,144.99752059355876,31.480879442309288,330.615384404038,331.50791447186936,67.41504097310093,67.55215895392767,0.22567267768269697,0.0343317999251129,9141,False,,baseline
Heritage,28,2,405.73455914782767,478.3835259205473,93.42315200066207,614.8743731374033,616.2047989845004,134.20017760727245,134.4216061200258,0.357586055683796,0.05482289505853707,9141,False,,moderate
Identity,8,3,195.81148016692168,193.4439377747608,42.63964560563414,591.8044750269139,594.0873944419856,110.64974638604019,110.9301298747367,0.5687429821479467,0.07038734439473558,4701,False,,baseline
Identity,16,3,171.11311315453815,180.784463251616,38.157428534738926,516.4700865388571,518.3843525767488,100.4511089796821,100.68857307967005,0.4931584931837032,0.0637132319802006,4701,False,,baseline
Identity,24,3,203.70855417681332,201.79403561762842,42.70111490417088,591.8994072846668,594.1739553794451,109.61661556523784,109.88059325320255,0.5783984258479643,0.06969557543256079,4701,False,,baseline
Identity,28,3,554.6673703783292,652.454047753042,118.58807027994305,1034.1776325186206,1038.0248765991732,197.8873898179596,198.31202583140976,0.9276291552533084,0.1106920814312468,4701,False,,high
Infrastructure,8,2,218.91876428146247,209.0180453221359,44.74994683180165,1292.1792115459923,1322.2406935760532,114.35768948390472,115.24452021652225,7.3807037521053305,0.23359310023069307,318,False,,baseline
Infrastructure,16,2,245.56428606431018,249.82055189641494,47.308864760125175,1303.3016841035148,1331.913081435434,116.10105722973269,117.03268518678746,7.360979529455253,0.2415439585580047,318,False,,baseline
Infrastructure,24,2,280.93813981402036,271.0232953964887,52.88172433283597,1355.3677374817178,1390.3485575525171,121.32655862355683,122.36711117244805,8.769807656015661,0.26831474128779087,318,False,,baseline
Infrastructure,28,2,710.3494877647236,823.5460441357293,147.3663589190303,1657.4062496754677,1687.8068249683151,223.19337051547242,224.67571720207147,8.00207625000173,0.39678254344818636,318,False,,high
Lifestyle,8,3,236.8464477709117,232.48173173513737,49.54167557783484,782.8341152421326,786.878113244882,135.69828419825788,136.14062197962858,0.9587376068339549,0.11164039425474914,3576,False,,baseline
Lifestyle,16,3,196.69195546538742,204.2631786790862,42.20779684903158,656.6144458741967,659.4500608688687,118.47966382803654,118.84747592235176,0.7139457052178494,0.09086125946236741,3576,False,,baseline
Lifestyle,24,3,223.3399307693146,215.4358812285917,46.492623509008126,692.3128280707747,695.6397318547896,122.90100367811652,123.27961883111468,0.8602091436390428,0.09418408768961087,3576,False,,baseline
Lifestyle,28,3,611.3229887263444,735.7400851039549,134.64914176814955,1184.9383828808309,1189.4722700796085,226.46129329274896,227.00102704510195,1.1183368723214433,0.14610010572420545,3576,False,,high
Other,8,2,150.1590500868217,147.4232965220723,33.363430826178444,497.88355527255123,499.74722600597636,95.62061020589867,95.86279545666095,0.48700262867349764,0.05973467385205618,4845,False,,baseline
Other,16,2,125.63813956834588,132.29408699385158,28.496304069503367,418.3893423985031,419.8663764451804,83.36849749227076,83.56645810565036,0.3789865363680386,0.05115162003313132,4845,False,,baseline
Other,24,2,143.7602877058613,143.0021279269963,30.429928527567938,449.6050243383534,451.1789110104592,86.25105944489026,86.46120822752944,0.415942234948698,0.05383418572612526,4845,False,,baseline
Other,28,2,400.4428169723624,471.7242390124261,90.2393889180068,752.8335412498753,754.7590975902716,154.94983632716233,155.22950223622826,0.5281111091238834,0.07405943113064552,4845,False,,moderate
