attribute,layer,kl_divergence,kl_divergence_reverse,js_divergence,n_samples
Art,8,212.1576103786267,210.0679267788979,211.1127685787623,2781
Art,16,186.40573401109896,194.34550636339213,190.37562018724554,2781
Art,24,213.11823541251476,211.25687938493525,212.187557398725,2781
Art,28,567.4520897854463,669.729603642121,618.5908467137837,2781
Costume,8,307.4351926202478,297.04653489131374,302.24086375578077,2103
Costume,16,247.45539813288747,254.2100151858342,250.83270665936084,2103
Costume,24,267.51665575091897,263.3380520234548,265.4273538871869,2103
Costume,28,706.0553671541168,815.6997799460955,760.8775735501061,2103
Cuisine,8,267.8175837566489,263.60620398139304,265.71189386902097,3177
Cuisine,16,215.47456086629825,227.17283054571203,221.32369570600514,3177
Cuisine,24,248.91961614798424,241.77246919251593,245.34604267025009,3177
Cuisine,28,669.8037209920856,811.5679961981409,740.6858585951132,3177
Cultural_Common_Sense,8,166.35848722264382,160.7781864567537,163.56833683969876,3363
Cultural_Common_Sense,16,137.06608410182935,143.44612613037816,140.25610511610375,3363
Cultural_Common_Sense,24,159.2411980451492,156.87938967793582,158.0602938615425,3363
Cultural_Common_Sense,28,425.6811418116499,502.9623431328041,464.321742472227,3363
Dance_and_Music,8,296.90189600118333,290.5532757415201,293.7275858713517,2874
Dance_and_Music,16,261.5667410124072,275.66111408917254,268.61392755078987,2874
Dance_and_Music,24,303.8566031927578,301.48327817425434,302.66994068350607,2874
Dance_and_Music,28,777.6601140988475,918.8907980344738,848.2754560666607,2874
Festivals,8,275.2328860902778,270.0017620852924,272.6173240877851,3267
Festivals,16,218.4256777646891,231.01806779536764,224.72187278002838,3267
Festivals,24,241.24923388767206,240.43870495652698,240.84396942209952,3267
Festivals,28,655.369201906972,778.5947937503677,716.9819978286698,3267
History,8,170.32568008582757,165.0068519682668,167.6662660270472,3528
History,16,142.1863397523789,147.62851014640194,144.90742494939042,3528
History,24,171.31920622622283,168.59148362690337,169.9553449265631,3528
History,28,451.4858104612133,536.0759501994828,493.78088033034805,3528
Language,8,329.7644258837515,317.0353795437193,323.3999027137354,1710
Language,16,253.68585846474684,264.1975018668893,258.94168016581807,1710
Language,24,261.9778573161443,256.60871003724674,259.2932836766955,1710
Language,28,695.9226585232627,820.2905153990698,758.1065869611663,1710
Medicine,8,180.39492749495946,173.25574735744908,176.82533742620427,135
Medicine,16,200.88193130627405,197.29671774196822,199.08932452412114,135
Medicine,24,252.27924209429648,236.499125614145,244.38918385422073,135
Medicine,28,686.9386259111452,752.3927985800028,719.665712245574,135
Nightlife,8,103.71008004669068,98.86720871942384,101.28864438305726,57
Nightlife,16,119.63696389076006,119.00010076334729,119.31853232705367,57
Nightlife,24,176.80018155729772,164.75084308509622,170.77551232119697,57
Nightlife,28,357.6431123844045,414.5262528755791,386.0846826299918,57
Personalities,8,236.7451160996111,236.3079100809755,236.5265130902933,1482
Personalities,16,197.89475136274223,208.62797648493085,203.26136392383654,1482
Personalities,24,209.36305403551387,208.33374917390904,208.84840160471146,1482
Personalities,28,541.4229568146752,654.2679452109205,597.8454510127979,1482
Religion,8,356.8265618718192,332.563614785804,344.6950883288116,888
Religion,16,319.1043233086043,329.60829445076433,324.3563088796843,888
Religion,24,333.2170897494382,325.3750510450809,329.29607039725954,888
Religion,28,806.2568807494322,957.018279292626,881.6375800210291,888
Rituals_and_Ceremonies,8,226.95133539578342,221.61936064611177,224.2853480209476,2019
Rituals_and_Ceremonies,16,185.53417533219,195.78320922742387,190.65869227980693,2019
Rituals_and_Ceremonies,24,197.60983934047601,196.34966320357205,196.97975127202403,2019
Rituals_and_Ceremonies,28,507.64431543656156,605.9726636458104,556.808489541186,2019
Sports,8,237.3554546533262,227.71721080907264,232.53633273119942,342
Sports,16,233.85203658791897,230.67474601031938,232.26339129911918,342
Sports,24,259.23294119088246,246.8078362574147,253.02038872414857,342
Sports,28,602.2866009250884,700.3822946007081,651.3344477628982,342
Tourism,8,173.0094764367518,169.5922089430528,171.3008426899023,5613
Tourism,16,157.156090247081,164.52862909986084,160.84235967347092,5613
Tourism,24,178.81564774232447,176.51796826309317,177.66680800270882,5613
Tourism,28,482.2665360557728,567.396814021401,524.8316750385869,5613
Transport,8,165.17222095591603,156.01400291213417,160.5931119340251,183
Transport,16,168.25116727420152,172.42576537290984,170.33846632355568,183
Transport,24,176.81599695706882,172.7075454174801,174.76177118727446,183
Transport,28,437.79424410530305,536.8170640316735,487.30565406848825,183
