state,layer,kl_divergence,kl_divergence_reverse,js_divergence,n_samples
Andaman_and_Nicobar,8,217.41880530216008,209.04576642284735,213.23228586250372,474
Andaman_and_Nicobar,16,176.86056635471152,180.2614658971445,178.561016125928,474
Andaman_and_Nicobar,24,152.424750711613,147.39800318824996,149.91137694993148,474
Andaman_and_Nicobar,28,424.0374606577948,506.19720834889836,465.11733450334657,474
Andhra_Pradesh,8,252.303196870384,244.42664715107503,248.36492201072952,1017
Andhra_Pradesh,16,207.04104353526304,210.60335950193712,208.82220151860008,1017
Andhra_Pradesh,24,206.20912473040505,198.73028160900276,202.4697031697039,1017
Andhra_Pradesh,28,562.4686784634985,670.9250261331636,616.696852298331,1017
Arunachal_Pradesh,8,310.1136718877135,297.8933819322565,304.003526909985,1431
Arunachal_Pradesh,16,243.92015812378077,251.35749151737366,247.6388248205772,1431
Arunachal_Pradesh,24,267.80424028336256,257.47207854101885,262.6381594121907,1431
Arunachal_Pradesh,28,685.4482400405032,805.361211369252,745.4047257048776,1431
Assam,8,262.600161949882,251.04283227450355,256.8214971121928,714
Assam,16,227.30465865173937,232.42629850173068,229.86547857673503,714
Assam,24,212.9403468732387,205.42154720300618,209.18094703812244,714
Assam,28,582.7152266111761,680.4588987992952,631.5870627052357,714
Bihar,8,187.4563263157013,180.70197911523837,184.07915271546983,447
Bihar,16,175.2294516464093,177.38520269040407,176.3073271684067,447
Bihar,24,173.32091639311352,163.8248756355182,168.57289601431586,447
Bihar,28,440.9575444127622,517.7870592739046,479.3723018433334,447
Chandigarh,8,159.7310507452611,149.72295458051815,154.72700266288962,282
Chandigarh,16,173.5139491554197,169.93931424488267,171.7266317001512,282
Chandigarh,24,180.69665148284878,167.0895130273775,173.89308225511314,282
Chandigarh,28,440.0958921101028,502.6664621217551,471.38117711592895,282
Chhattisgarh,8,305.3017803093537,294.9222075759981,300.1119939426759,657
Chhattisgarh,16,260.36675658205695,266.11215335675354,263.23945496940524,657
Chhattisgarh,24,237.91600114717266,227.51167047659385,232.71383581188326,657
Chhattisgarh,28,613.6034097389088,717.023937781013,665.3136737599609,657
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,8,264.1878547079341,246.90041873762232,255.5441367227782,588
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,16,217.79343037466015,217.93190341668083,217.8626668956705,588
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,24,221.5049977607348,207.2204795891672,214.362738674951,588
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,28,550.3065412509325,618.9489179218301,584.6277295863813,588
Delhi,8,172.6259668536852,167.68993489343518,170.1579508735602,864
Delhi,16,171.09485165125193,175.43567487593725,173.2652632635946,864
Delhi,24,169.62860536689413,162.38800108594353,166.00830322641883,864
Delhi,28,426.2330566233711,501.25072222890253,463.7418894261368,864
Goa,8,179.85443630662166,171.8312519125518,175.84284410958674,405
Goa,16,189.1842410903871,192.4494055827231,190.8168233365551,405
Goa,24,195.5703933977552,185.20033964900858,190.3853665233819,405
Goa,28,455.1063882863248,521.2774510117583,488.19191964904155,405
Gujarat,8,242.49787491176562,232.51694166004222,237.50740828590392,660
Gujarat,16,216.3385695568394,219.56693841860056,217.95275398771997,660
Gujarat,24,225.07478676265941,213.37811950334162,219.22645313300052,660
Gujarat,28,584.4318936999557,678.2640674727925,631.3479805863741,660
Haryana,8,244.33897072463333,233.96620369884408,239.1525872117387,819
Haryana,16,197.3054530377168,203.4652705331232,200.38536178542,819
Haryana,24,234.87436868734312,230.39695314882715,232.63566091808514,819
Haryana,28,650.7083907613498,780.2480405762842,715.478215668817,819
Himachal_Pradesh,8,291.73034797295986,282.8244447400714,287.2773963565156,1422
Himachal_Pradesh,16,225.9208230481653,239.17292203415286,232.54687254115908,1422
Himachal_Pradesh,24,247.14412609680176,241.8363494728045,244.49023778480313,1422
Himachal_Pradesh,28,659.3435058241846,777.8462171255712,718.5948614748779,1422
Jammu_kashmir,8,193.95795963892988,183.1422246189511,188.5500921289405,336
Jammu_kashmir,16,201.93044427527843,202.30728715637736,202.1188657158279,336
Jammu_kashmir,24,199.8520727729591,188.2788822937116,194.06547753333535,336
Jammu_kashmir,28,505.8773355579501,583.5261630691002,544.7017493135252,336
Jharkhand,8,288.30396183900643,275.96118728729107,282.13257456314875,1389
Jharkhand,16,231.74481465233896,241.11932680990265,236.4320707311208,1389
Jharkhand,24,250.9602761315166,247.15519961747373,249.05773787449516,1389
Jharkhand,28,736.1491544922703,861.5371359154692,798.8431452038698,1389
Karnataka,8,286.21569307440086,276.52100295034495,281.3683480123729,1308
Karnataka,16,213.8977316467765,220.45672117333527,217.17722641005588,1308
Karnataka,24,248.43582687003413,245.12355551573364,246.7796911928839,1308
Karnataka,28,650.1265937657745,766.7246867469244,708.4256402563494,1308
Kerala,8,196.70778241066182,186.38179046564437,191.5447864381531,324
Kerala,16,171.67883849689144,173.1136306370446,172.39623456696802,324
Kerala,24,172.5084373877005,164.50427399616865,168.50635569193457,324
Kerala,28,401.7693846730224,462.0426704066697,431.90602753984604,324
Ladakh,8,190.98407355168592,179.7597143821307,185.37189396690832,429
Ladakh,16,174.82775853247722,173.96971787812151,174.39873820529937,429
Ladakh,24,186.56239392519228,177.9158562980365,182.23912511161438,429
Ladakh,28,473.60012062173405,555.1702994398124,514.3852100307732,429
Lakshadweep,8,184.23912021523438,172.50571153430928,178.37241587477183,171
Lakshadweep,16,166.80299545270373,166.18425283233228,166.493624142518,171
Lakshadweep,24,191.43325078147836,182.1241700022274,186.77871039185288,171
Lakshadweep,28,453.8275004571167,519.9093509459472,486.8684257015319,171
Madhya_Pradesh,8,200.26807595082073,188.83465734707204,194.55136664894638,390
Madhya_Pradesh,16,181.639476684628,180.11592186148118,180.8776992730546,390
Madhya_Pradesh,24,193.21913028422887,180.80166466491676,187.0103974745728,390
Madhya_Pradesh,28,504.64386670610884,565.6920911568211,535.167978931465,390
Maharashtra,8,218.02680966063758,210.26117789087016,214.14399377575387,534
Maharashtra,16,202.20139193487262,203.85797481912994,203.02968337700128,534
Maharashtra,24,216.22014704381604,204.00572662067725,210.11293683224665,534
Maharashtra,28,550.3902229599034,648.245612892837,599.3179179263702,534
Manipur,8,245.92336830952263,235.55563333625423,240.73950082288843,1449
Manipur,16,208.5211266317707,213.01677662802945,210.76895162990007,1449
Manipur,24,243.3862756503031,235.43787831378359,239.41207698204335,1449
Manipur,28,625.3923382605221,728.5325035147719,676.962420887647,1449
Meghalaya,8,249.66097952027553,233.34142486524001,241.50120219275777,603
Meghalaya,16,229.11815543512216,227.73648789719527,228.42732166615872,603
Meghalaya,24,239.90887944217525,227.01755231847596,233.4632158803256,603
Meghalaya,28,622.5580472742274,717.3036402708769,669.9308437725522,603
Mizoram,8,293.47601167521316,275.53714609660346,284.5065788859083,606
Mizoram,16,259.8508390151551,261.81624048020944,260.83353974768227,606
Mizoram,24,339.0052072594008,315.93075793344315,327.46798259642196,606
Mizoram,28,749.7863037273785,846.9402110715648,798.3632573994716,606
Nagaland,8,278.20318783038897,260.42312336971645,269.3131556000527,1224
Nagaland,16,214.7988295453206,219.59234949985557,217.19558952258808,1224
Nagaland,24,226.88176684100836,218.1526844952548,222.51722566813157,1224
Nagaland,28,606.6398212956278,714.2605356143861,660.450178455007,1224
Odisha,8,223.11953420433156,216.88483250618935,220.00218335526046,1068
Odisha,16,200.17102766221637,203.7443137529749,201.95767070759564,1068
Odisha,24,222.42063955038225,212.28880935362554,217.3547244520039,1068
Odisha,28,589.1211088941877,681.0320696210886,635.0765892576381,1068
Puducherry,8,177.8179934641173,171.53663855089496,174.67731600750614,588
Puducherry,16,191.09794177794583,191.57334932361982,191.33564555078283,588
Puducherry,24,178.82433548619065,167.71667585934483,173.27050567276774,588
Puducherry,28,488.695114175001,546.5876082201862,517.6413611975936,588
Punjab,8,232.3928511433919,223.0763601869719,227.7346056651819,969
Punjab,16,211.42595745104768,216.90478938505566,214.16537341805167,969
Punjab,24,236.1263602427623,227.03529754426177,231.58082889351203,969
Punjab,28,654.4683252879045,765.4554495285761,709.9618874082403,969
Rajasthan,8,230.22585934303993,220.8087853127015,225.51732232787072,861
Rajasthan,16,199.42109234995087,201.99556800187452,200.7083301759127,861
Rajasthan,24,225.04668526196133,215.22091990645856,220.13380258420995,861
Rajasthan,28,568.1044032259852,656.2634980885309,612.183950657258,861
Sikkim,8,237.37831753532646,226.03268519409835,231.7055013647124,1485
Sikkim,16,200.13119475679468,206.17798913815295,203.15459194747382,1485
Sikkim,24,236.05239735662963,231.73568736054972,233.89404235858967,1485
Sikkim,28,633.299220323428,747.1269278439793,690.2130740837036,1485
Tamil_Nadu,8,250.44642606923685,241.87016089980546,246.15829348452115,1590
Tamil_Nadu,16,188.67204819656138,194.09089064263833,191.38146941959985,1590
Tamil_Nadu,24,238.82332045616158,228.90990756312976,233.86661400964567,1590
Tamil_Nadu,28,634.3751493511729,739.8052640969929,687.0902067240829,1590
Telangana,8,214.02553984343717,206.16968695906564,210.0976134012514,2889
Telangana,16,175.4998101180504,182.24909525993553,178.87445268899296,2889
Telangana,24,204.6870894544919,199.87850355869637,202.28279650659414,2889
Telangana,28,561.050039418669,662.6201383603425,611.8350888895058,2889
Tripura,8,238.8858731824089,228.24080581292776,233.56333949766832,1449
Tripura,16,197.57097939971663,208.70067196301488,203.13582568136576,1449
Tripura,24,248.39341048149595,240.36325956623784,244.3783350238669,1449
Tripura,28,639.7501815992482,740.5434255705636,690.1468035849059,1449
Uttar_Pradesh,8,235.02389299545575,226.56524393924155,230.79456846734865,1011
Uttar_Pradesh,16,217.79272488838762,224.3746949350666,221.0837099117271,1011
Uttar_Pradesh,24,229.29940760601266,219.98229006898453,224.6408488374986,1011
Uttar_Pradesh,28,634.7821569873865,744.033195085012,689.4076760361993,1011
Uttarakhand,8,276.5136602335865,269.3032264734278,272.90844335350715,1806
Uttarakhand,16,207.39424922658304,217.43187432807417,212.4130617773286,1806
Uttarakhand,24,260.5992237235032,258.8611724530981,259.73019808830065,1806
Uttarakhand,28,715.0591026723978,828.1819481124185,771.6205253924081,1806
West_Bengal,8,233.6441272986665,224.55210963804882,229.09811846835765,1263
West_Bengal,16,201.5142277805254,206.66474475107134,204.08948626579837,1263
West_Bengal,24,227.52592607935867,223.14559442588745,225.33576025262306,1263
West_Bengal,28,640.3452118102155,740.6935836145988,690.5193977124071,1263
