layer,task,split,cohens_d_bits,n_base,n_instruct
8,attribute,test,-0.09901097920675024,9,9
8,state,test,-0.03637008379126132,9,9
8,multitask_dual,test,0.042899244540933315,9,9
16,attribute,test,0.8595266340473792,9,9
16,state,test,-0.036797276234512066,9,9
16,multitask_dual,test,-0.08707506431971804,9,9
24,attribute,test,-0.26510560765868085,9,9
24,state,test,0.006995027210869877,9,9
24,multitask_dual,test,0.06650000510990889,9,9
28,attribute,test,-0.07311953992870462,9,9
28,state,test,-0.045344724485459446,9,9
28,multitask_dual,test,0.1334057462094835,9,9
