model,task,mdl_24,mdl_28,mdl_delta_28_minus_24,data_cost_24,data_cost_28,fisher_24,fisher_28,acc_24,acc_28,acc_delta_28_minus_24
base,attribute,205603.20526123047,206054.8680419922,451.66278076171875,20761.49383544922,20926.718627929688,5.446817137322313e-07,6.163593812373117e-07,0.19245913375492185,0.18923756115022075,-0.0032215726047011006
base,state,534289.5556640625,542176.296875,7886.7412109375,23670.9521484375,25911.55078125,4.360377927244604e-08,5.018534193768076e-08,,,
base,correctness_base,20218.035570144653,20221.896830558777,3.861260414123535,667.0376453399658,667.0323286056519,6.98733562861283e-08,9.662620451914942e-08,,,
base,multitask_dual,5152340.678222656,5155358.426269531,3017.748046875,96510.20947265625,97101.39501953125,1.5648698376478722e-06,1.534919664512659e-06,0.09724376566042238,0.09724376566042238,0.0
base,multitask_triple_base,5152513.296142578,5155788.957275391,3275.6611328125,97271.49926757812,97369.42602539062,1.1885237768775407e-06,1.259551655369901e-06,0.09724376566042238,0.09724376566042238,0.0
instruct,attribute,205703.00772094727,206144.36895751953,441.3612365722656,20823.759674072266,21016.81768798828,5.939847936472139e-07,6.156850872833056e-07,0.21381696694905142,0.20116931153800263,-0.012647655411048786
instruct,state,533474.3794250488,539664.2232971191,6189.8438720703125,23631.898956298828,25691.95767211914,4.146168160653237e-08,4.885226393784118e-08,,,
instruct,multitask_dual,5150541.747558594,5153367.382080078,2825.634521484375,95931.98193359375,96320.50708007812,1.362889794417502e-06,1.406369216765719e-06,0.09724376566042238,0.09724376566042238,0.0
instruct,correctness_instruct,20235.47455883026,20235.009326934814,-0.46523189544677734,680.3659162521362,680.373706817627,1.12660454002859e-07,4.5104333897446246e-08,,,
instruct,multitask_triple_instruct,5151885.795654297,5153871.851318359,1986.0556640625,96973.29565429688,97303.10131835938,1.1561043721365472e-06,1.1396006788110135e-06,0.09724376566042238,0.09724376566042238,0.0
