layer,model,task,group,data_pct,chunk_bits,cumulative_bits,bits_per_sample,accuracy
8,base,attribute,all,0.02,1957.85107421875,1957.85107421875,2.922165782416045,0.06716418266296387
8,base,attribute,all,0.04,5583.4677734375,7541.31884765625,5.627849886310634,0.11044776439666748
8,base,attribute,all,0.06,9660.607421875,17201.92626953125,8.553916593501368,0.08494783937931061
8,base,attribute,all,0.08,13971.27734375,31173.20361328125,11.627453790854625,0.12089551985263824
8,base,attribute,all,0.1,14391.5810546875,45564.78466796875,13.593312848439364,0.18479880690574646
8,base,attribute,all,0.12000000000000001,11315.6533203125,56880.43798828125,14.142326700219108,0.18208955228328705
8,base,attribute,all,0.13999999999999999,11551.0908203125,68431.52880859375,14.581617048496431,0.0953800305724144
8,base,attribute,all,0.16,13240.9287109375,81672.45751953125,15.228875166796803,0.09552238881587982
8,base,attribute,all,0.18,10148.013671875,91820.47119140625,15.21970349600634,0.13880597054958344
8,base,attribute,all,0.2,10502.552734375,102323.02392578125,15.262980895850426,0.15499255061149597
8,base,attribute,all,0.25,18504.833984375,120827.85791015625,14.418598795961366,0.17124105989933014
8,base,attribute,all,0.3,17106.548828125,137934.40673828125,13.716627559494952,0.20107398927211761
8,base,attribute,all,0.35,18494.203125,156428.60986328125,13.333498965503004,0.26610979437828064
8,base,attribute,all,0.39999999999999997,18635.94921875,175064.55908203125,13.056724275211161,0.18675418198108673
8,base,attribute,all,0.44999999999999996,11289.19140625,186353.75048828125,12.354398732980725,0.44689738750457764
8,base,attribute,all,0.49999999999999994,18641.021484375,204994.77197265625,12.231191645146554,0.20704057812690735
8,base,attribute,all,0.5499999999999999,16624.572265625,221619.34423828125,12.020358205688629,0.31186643242836
8,base,attribute,all,0.5999999999999999,19299.533203125,240918.87744140625,11.978266665410741,0.19331742823123932
8,base,attribute,all,0.6499999999999999,14579.3876953125,255498.26513671875,11.726020704792269,0.24045346677303314
8,base,attribute,all,0.7,14187.8046875,269686.06982421875,11.49312038458209,0.2625298500061035
8,base,attribute,all,0.7499999999999998,13908.3603515625,283594.43017578125,11.280157120869546,0.1730310320854187
8,base,attribute,all,0.7999999999999998,16058.6796875,299653.10986328125,11.173998204992403,0.2792362868785858
8,base,attribute,all,0.8499999999999999,10602.1953125,310255.30517578125,10.888825507169525,0.3818615972995758
8,base,attribute,all,0.8999999999999999,10857.5185546875,321112.82373046875,10.643800713661996,0.5035799741744995
8,base,attribute,all,0.9499999999999997,7342.24462890625,328455.068359375,10.314180196557544,0.43914082646369934
8,base,attribute,all,0.9999999999999998,4858.67578125,333313.744140625,9.9434308087654,0.34427207708358765
8,base_control,attribute,all,0.02,1924.5655517578125,1924.5655517578125,2.872485898145989,0.023880597203969955
8,base_control,attribute,all,0.04,8384.9736328125,10309.539184570312,7.693685958634561,0.03731343150138855
8,base_control,attribute,all,0.06,15348.9306640625,25658.469848632812,12.759060093800503,0.04470938816666603
8,base_control,attribute,all,0.08,11591.2587890625,37249.72863769531,13.893968160274268,0.09253731369972229
8,base_control,attribute,all,0.1,13663.21875,50912.94738769531,15.188826786305285,0.06110283359885216
8,base_control,attribute,all,0.12000000000000001,14605.9140625,65518.86145019531,16.29011970417586,0.09850746393203735
8,base_control,attribute,all,0.13999999999999999,17029.556640625,82548.41809082031,17.589690622378075,0.05812220647931099
8,base_control,attribute,all,0.16,10908.7529296875,93457.17102050781,17.426285851297372,0.08955223858356476
8,base_control,attribute,all,0.18,13644.5693359375,107101.74035644531,17.752650481757883,0.056716419756412506
8,base_control,attribute,all,0.2,8027.27099609375,115129.01135253906,17.17318188432862,0.0670640841126442
8,base_control,attribute,all,0.25,41506.7890625,156635.80041503906,18.691622961221846,0.11575179547071457
8,base_control,attribute,all,0.3,30213.740234375,186849.54064941406,18.580901019233696,0.08890215307474136
8,base_control,attribute,all,0.35,37079.2265625,223928.76721191406,19.087007092730484,0.08472554385662079
8,base_control,attribute,all,0.39999999999999997,32797.78515625,256726.55236816406,19.147266733902452,0.1640811562538147
8,base_control,attribute,all,0.44999999999999996,36084.3359375,292810.88830566406,19.412018582979584,0.07040572911500931
8,base_control,attribute,all,0.49999999999999994,29286.24609375,322097.13439941406,19.21820610975024,0.08890215307474136
8,base_control,attribute,all,0.5499999999999999,42494.74609375,364591.88049316406,19.775011145694204,0.07811567932367325
8,base_control,attribute,all,0.5999999999999999,30030.041015625,394621.92150878906,19.6202417097792,0.18257756531238556
8,base_control,attribute,all,0.6499999999999999,33512.16015625,428134.08166503906,19.649092737851166,0.09009546786546707
8,base_control,attribute,all,0.7,32051.189453125,460185.27111816406,19.611560669855702,0.120525062084198
8,base_control,attribute,all,0.7499999999999998,45077.2109375,505262.48205566406,20.097151348620343,0.08353222161531448
8,base_control,attribute,all,0.7999999999999998,21640.310546875,526902.7926025391,19.64808862298315,0.09427207708358765
8,base_control,attribute,all,0.8499999999999999,29920.798828125,556823.5914306641,19.542469779618294,0.09307876229286194
8,base_control,attribute,all,0.8999999999999999,38805.42578125,595629.0172119141,19.74308121621247,0.09188544750213623
8,base_control,attribute,all,0.9499999999999997,34247.65234375,629876.6695556641,19.779452647375226,0.10620525479316711
8,base_control,attribute,all,0.9999999999999998,30488.41015625,660365.0797119141,19.70004115962871,0.026849642395973206
8,base,state,all,0.02,2499.188232421875,2499.188232421875,3.730131690181903,0.03283582255244255
8,base,state,all,0.04,3134.16357421875,5633.351806640625,4.2039938855527055,0.04179104417562485
8,base,state,all,0.06,3237.4619140625,8870.813720703125,4.411145559772812,0.05216095596551895
8,base,state,all,0.08,2781.529052734375,11652.3427734375,4.346267353016598,0.10447761416435242
8,base,state,all,0.1,2897.14794921875,14549.49072265625,4.340540191723225,0.0953800305724144
8,base,state,all,0.12000000000000001,2812.579345703125,17362.070068359375,4.3167752531972585,0.07164178788661957
8,base,state,all,0.13999999999999999,3111.94873046875,20474.018798828125,4.362671808827642,0.0760059654712677
8,base,state,all,0.16,2683.90234375,23157.921142578125,4.3180908339694435,0.0701492577791214
8,base,state,all,0.18,4015.02880859375,27172.949951171875,4.5040527020009735,0.07611940056085587
8,base,state,all,0.2,3275.29150390625,30448.241455078125,4.541802126354136,0.07898658514022827
8,base,state,all,0.25,10382.0830078125,40830.324462890625,4.872353754521554,0.0525059700012207
8,base,state,all,0.3,10105.443359375,50935.767822265625,5.065211597281785,0.08114558458328247
8,base,state,all,0.35,11359.716796875,62295.484619140625,5.309877652500906,0.05190930888056755
8,base,state,all,0.39999999999999997,7449.6875,69745.17211914062,5.201758063778388,0.07935561239719391
8,base,state,all,0.44999999999999996,7086.40576171875,76831.57788085938,5.0935811376862485,0.07398568093776703
8,base,state,all,0.49999999999999994,10761.9189453125,87593.49682617188,5.226342292731019,0.1282816231250763
8,base,state,all,0.5499999999999999,9603.9453125,97197.44213867188,5.271868641247051,0.04531902074813843
8,base,state,all,0.5999999999999999,10060.994140625,107258.43627929688,5.332791541753934,0.08412887901067734
8,base,state,all,0.6499999999999999,10462.1357421875,117720.57202148438,5.40275239898501,0.06443914026021957
8,base,state,all,0.7,8902.2451171875,126622.81713867188,5.396241940706238,0.13007161021232605
8,base,state,all,0.7499999999999998,7284.017578125,133906.83471679688,5.326233432114748,0.12291169911623001
8,base,state,all,0.7999999999999998,8137.1201171875,142043.95483398438,5.296787665808419,0.05548926070332527
8,base,state,all,0.8499999999999999,8222.5771484375,150266.53198242188,5.273805214699115,0.13305489718914032
8,base,state,all,0.8999999999999999,7332.17431640625,157598.70629882812,5.223862451484243,0.1551312655210495
8,base,state,all,0.9499999999999997,7856.6826171875,165455.38891601562,5.195647320333353,0.07637231796979904
8,base,state,all,0.9999999999999998,7398.560546875,172853.94946289062,5.156586899641736,0.15274463593959808
8,base_control,state,all,0.02,2518.833740234375,2518.833740234375,3.7594533436333957,0.04029850661754608
8,base_control,state,all,0.04,4607.66650390625,7126.500244140625,5.318283764284049,0.04029850661754608
8,base_control,state,all,0.06,3939.241455078125,11065.74169921875,5.502606513783565,0.0760059654712677
8,base_control,state,all,0.08,3103.900390625,14169.64208984375,5.285207791810425,0.04477611929178238
8,base_control,state,all,0.1,3155.859619140625,17325.501708984375,5.1687057604368665,0.03725782409310341
8,base_control,state,all,0.12000000000000001,3394.858154296875,20720.35986328125,5.151755311606477,0.04029850661754608
8,base_control,state,all,0.13999999999999999,3446.5166015625,24166.87646484375,5.149558164253942,0.04321907460689545
8,base_control,state,all,0.16,4009.842041015625,28176.718505859375,5.253909846328431,0.038805969059467316
8,base_control,state,all,0.18,5171.22021484375,33347.938720703125,5.527588052495131,0.046268656849861145
8,base_control,state,all,0.2,2872.149658203125,36220.08837890625,5.402757813082674,0.03427719697356224
8,base_control,state,all,0.25,13318.388671875,49538.47705078125,5.911512774556235,0.025059666484594345
8,base_control,state,all,0.3,9638.951171875,59177.42822265625,5.884788009412913,0.04534606263041496
8,base_control,state,all,0.35,10846.3232421875,70023.75146484375,5.968611614800865,0.08651551604270935
8,base_control,state,all,0.39999999999999997,11382.32421875,81406.07568359375,6.071455525327696,0.04534606263041496
8,base_control,state,all,0.44999999999999996,11725.712890625,93131.78857421875,6.174210327116067,0.06264916807413101
8,base_control,state,all,0.49999999999999994,8353.7041015625,101485.49267578125,6.055220326717258,0.045942723751068115
8,base_control,state,all,0.5499999999999999,12602.302734375,114087.79541015625,6.187980442054361,0.040548596531152725
8,base_control,state,all,0.5999999999999999,10220.140625,124307.93603515625,6.180477106108301,0.03400954604148865
8,base_control,state,all,0.6499999999999999,9879.8046875,134187.74072265625,6.1585084548467695,0.04474940523505211
8,base_control,state,all,0.7,8019.75048828125,142207.4912109375,6.060408745405391,0.04295942932367325
8,base_control,state,all,0.7499999999999998,12365.4892578125,154572.98046875,6.148243127510839,0.049522675573825836
8,base_control,state,all,0.7999999999999998,9047.19140625,163620.171875,6.101360028153783,0.049522675573825836
8,base_control,state,all,0.8499999999999999,9039.556640625,172659.728515625,6.059724441639174,0.03818615898489952
8,base_control,state,all,0.8999999999999999,9206.48828125,181866.216796875,6.02824809562382,0.045942723751068115
8,base_control,state,all,0.9499999999999997,10188.626953125,192054.84375,6.030926165803109,0.08412887901067734
8,base_control,state,all,0.9999999999999998,11945.3759765625,204000.2197265625,6.085743853899421,0.025059666484594345
8,base,correctness_base,all,0.02,590.5319213867188,590.5319213867188,0.8813909274428638,0.3283582031726837
8,base,correctness_base,all,0.04,3250.49365234375,3841.0255737304688,2.866436995321245,0.34029850363731384
8,base,correctness_base,all,0.06,7934.4296875,11775.455261230469,5.855522258195161,0.6721311807632446
8,base,correctness_base,all,0.08,15737.6728515625,27513.12811279297,10.262263376647882,0.6686567068099976
8,base,correctness_base,all,0.1,6188.27392578125,33701.40203857422,10.054117553273931,0.34873324632644653
8,base,correctness_base,all,0.12000000000000001,5114.21044921875,38815.61248779297,9.650823592191191,0.6611940264701843
8,base,correctness_base,all,0.13999999999999999,14351.640625,53167.25311279297,11.329054573363088,0.6587183475494385
8,base,correctness_base,all,0.16,6917.90087890625,60085.15399169922,11.20364609205654,0.28656715154647827
8,base,correctness_base,all,0.18,7482.13720703125,67567.29119873047,11.19961730461304,0.6537313461303711
8,base,correctness_base,all,0.2,15659.236328125,83226.52752685547,12.414458163313764,0.6378539800643921
8,base,correctness_base,all,0.25,18059.322265625,101285.84979248047,12.086616920343731,0.3150358200073242
8,base,correctness_base,all,0.3,16666.12890625,117951.97869873047,11.729512599316873,0.6622911691665649
8,base,correctness_base,all,0.35,33605.98046875,151557.95916748047,12.91833951308221,0.6652745008468628
8,base,correctness_base,all,0.39999999999999997,12908.775390625,164466.73455810547,12.266313734942234,0.334725558757782
8,base,correctness_base,all,0.44999999999999996,7147.93701171875,171614.67156982422,11.3772654183124,0.6628878712654114
8,base,correctness_base,all,0.49999999999999994,28529.744140625,200144.41571044922,11.94179091351129,0.66050124168396
8,base,correctness_base,all,0.5499999999999999,31872.86328125,232017.27899169922,12.58432928305577,0.3542039394378662
8,base,correctness_base,all,0.5999999999999999,8101.5927734375,240118.87176513672,11.938491113465755,0.6497613787651062
8,base,correctness_base,all,0.6499999999999999,33889.671875,274008.5436401367,12.575544707886397,0.6652745008468628
8,base,correctness_base,all,0.7,23261.447265625,297269.9909057617,12.668655056712623,0.36455848813056946
8,base,correctness_base,all,0.7499999999999998,7386.56689453125,304656.55780029297,12.117917258672804,0.6742243766784668
