layer,model,task,group,prior,data_cost,model_cost,total_mdl,fisher_info,sparsity,acc_attribute,acc_state,acc_correctness_base,acc_correctness_instruct
8,base,attribute,all,l0,70533.22143554688,163541.2001953125,234074.42163085938,4.7106036464109974e-07,0.998779296875,0.2997732832169918,,,
8,base,attribute,all,l1,23947.015197753906,11002.170593261719,34949.185791015625,3.138003989988647e-08,0.0,0.8005787244197841,,,
8,base,attribute,all,l2,12647.492370605469,3435.246322631836,16082.738693237305,2.1230603053368213e-08,0.0,0.8955014617266273,,,
8,base_control,attribute,all,l0,82954.11633300781,129892.447265625,212846.5635986328,1.5913569721230186e-08,1.0,0.16744227671379988,,,
8,base_control,attribute,all,l1,83714.85546875,2957.9777297973633,86672.83319854736,8.788508409907081e-08,0.0,0.1621323310065032,,,
8,base_control,attribute,all,l2,77023.36108398438,2338.82666015625,79362.18774414062,9.636245223987316e-08,0.0,0.2285364835033709,,,
8,base,state,all,l0,63591.10192871094,379643.794921875,443234.89685058594,3.491835015578815e-08,0.9928023815155029,,0.5114849949287036,,
8,base,state,all,l1,30137.345642089844,31493.748596191406,61631.09423828125,1.2485071643197898e-08,0.0,,0.8335719825786051,,
8,base,state,all,l2,5769.723709106445,6893.5960693359375,12663.319778442383,1.7951236608304555e-09,0.0,,0.9852335779488097,,
8,base_control,state,all,l0,114752.8251953125,289411.67578125,404164.5009765625,8.280085950218563e-09,1.0,,0.08618220869876499,,
8,base_control,state,all,l1,114900.41259765625,4884.002014160156,119784.4146118164,3.322869002175821e-08,0.0,,0.0862717021657419,,
8,base_control,state,all,l2,99463.39672851562,5121.346618652344,104584.74334716797,3.213912069810476e-08,0.0,,0.18295447765646441,,
8,base,correctness_base,all,l0,21411.93536376953,19077.476440429688,40489.41180419922,7.162794683305644e-08,1.0,,,0.6635045641668158,
8,base,correctness_base,all,l1,19862.178314208984,923.5628643035889,20785.741178512573,2.284396103391373e-07,0.0,,,0.684356541972436,
8,base,correctness_base,all,l2,18888.176879882812,183.1180944442749,19071.294974327087,2.7549816650207504e-07,0.0,,,0.6997792494481236,
8,base,multitask_dual,all,l0,222735.32861328125,4085545.921875,4308281.250488281,1.3278369285377574e-06,1.0,0.10032217648111688,0.0318596742437802,,
8,base,multitask_dual,all,l1,44120.994689941406,60250.515380859375,104371.51007080078,6.279117688764065e-09,0.0,0.8077978640892548,0.8566016347473301,,
8,base,multitask_dual,all,l2,17596.471771240234,16247.792907714844,33844.26467895508,6.483239972654431e-09,0.0,0.8845832587554442,0.985949525684625,,
8,base,multitask_triple_base,all,l0,242938.95068359375,4089342.46875,4332281.419433594,1.0415573333440638e-06,1.0,0.10032217648111688,0.0318596742437802,0.6635045641668158,
8,base,multitask_triple_base,all,l1,64331.1474609375,60543.390380859375,124874.53784179688,3.8087377071671646e-08,0.0,0.8096772268957699,0.8549310900304278,0.6802995048028161,
8,base,multitask_triple_base,all,l2,36561.04235839844,16553.719665527344,53114.76202392578,4.6679901458124284e-08,0.0,0.8833303502177674,0.984965097547879,0.6988544836226955,
8,instruct,attribute,all,l0,72110.34521484375,163581.64453125,235691.98974609375,5.355191459906669e-07,0.9990234375,0.3032933595847503,,,
8,instruct,attribute,all,l1,23901.831420898438,11018.271789550781,34920.10321044922,3.310594731686933e-08,0.0,0.8009366982876917,,,
